available_at,AMD,KZT,KGS,TJS,UZS,USD,EUR,CNY
2020-01-02,0.129239,0.161665,0.886979,6.389800,0.006511,61.905700,69.377700,8.886960
2020-01-11,0.127904,0.162524,0.879036,6.319300,0.006402,61.234000,68.055500,8.834930
2020-01-12,0.127965,0.162192,0.879458,6.316970,0.006443,61.263200,68.045000,8.839780
2020-01-15,0.127305,0.161098,0.874924,6.284470,0.006389,60.947400,67.816200,8.840000
2020-01-16,0.128013,0.161775,0.879451,6.333820,0.006430,61.414000,68.421300,8.919710
2020-01-17,0.128252,0.162060,0.878622,6.339810,0.006432,61.432800,68.374700,8.920240
2020-01-18,0.128336,0.163176,0.882118,6.350630,0.006447,61.569400,68.656000,8.942150
2020-01-19,0.128261,0.163535,0.880916,6.346910,0.006449,61.533300,68.535800,8.971050
2020-01-22,0.128387,0.163420,0.879872,6.340690,0.006453,61.465400,68.208200,8.958660
2020-01-23,0.129337,0.163998,0.885199,6.380250,0.006486,61.855200,68.622200,8.955180
2020-01-24,0.129293,0.163921,0.885026,6.377960,0.006477,61.834300,68.518600,8.958380
2020-01-25,0.129538,0.163904,0.886831,6.393340,0.006474,61.951500,68.685600,8.939090
2020-01-26,0.129160,0.163252,0.884453,6.378030,0.006459,61.803100,68.292400,8.909580
2020-01-29,0.130278,0.163821,0.892172,6.429910,0.006507,62.338000,68.777500,8.986690
2020-01-30,0.131306,0.164940,0.899276,6.479310,0.006582,62.829900,69.226000,9.057610
2020-01-31,0.130394,0.164837,0.892901,6.435760,0.006524,62.393400,68.676400,8.994680
2020-02-01,0.131736,0.166092,0.902095,6.501900,0.006612,63.035900,69.415100,9.087300
2020-02-02,0.131951,0.166537,0.903564,6.512480,0.006602,63.138500,69.597600,9.102090
2020-02-05,0.133561,0.167751,0.914723,6.591960,0.006713,63.909100,70.792100,9.097380
2020-02-06,0.132569,0.167207,0.907795,6.542980,0.006656,63.434200,70.126500,9.074470
2020-02-07,0.132025,0.166588,0.904075,6.514280,0.006619,63.174200,69.744300,9.024890
2020-02-08,0.131239,0.166431,0.898815,6.477400,0.006582,62.797700,69.083700,9.009580
2020-02-09,0.132592,0.167572,0.908336,6.546950,0.006648,63.472000,69.628800,9.085990
2020-02-12,0.133203,0.168361,0.912612,6.579120,0.006696,63.770800,69.822600,9.129940
2020-02-13,0.133575,0.169032,0.915163,6.596760,0.006715,63.949000,69.768400,9.165420
